Line,Period,Date,Punctuality
All,Month,August 2025,75.7%
All,Month,July 2025,65.9%
All,Month,June 2025,73.3%
All,Month,May 2025,63.1%
All,Month,April 2025,68.0%
All,Month,March 2025,67.0%
All,Month,February 2025,68.7%
All,Month,January 2025,61.6%
All,Month,December 2024,66.1%
All,Month,November 2024,62.3%
All,Month,October 2024,83.1%
All,Month,September 2024,75.1%
All,Month,August 2024,82.9%
All,Month,July 2024,71.3%
All,Month,June 2024,76.6%
All,Month,May 2024,75.5%
All,Month,April 2024,71.5%
All,Month,March 2024,75.3%
All,Month,February 2024,77.4%
All,Month,January 2024,85.0%
All,Month,December 2023,82.5%
All,Month,November 2023,86.2%
All,Month,October 2023,83.8%
All,Month,September 2023,85.7%
All,Month,August 2023,81.0%
All,Month,July 2023,81.6%
All,Month,June 2023,81.4%
All,Month,May 2023,80.1%
All,Month,April 2023,80.0%
All,Month,March 2023,74.7%
All,Month,February 2023,77.1%
All,Month,January 2023,82.4%
All,Month,December 2022,80.7%
All,Month,November 2022,81.5%
All,Month,October 2022,78.2%
All,Month,September 2022,82.3%
All,Month,August 2022,75.8%
All,Month,July 2022,60.2%
All,Month,June 2022,77.8%
All,Month,May 2022,85.4%
All,Month,April 2022,77.4%
All,Month,March 2022,52.2%
All,Month,February 2022,83.0%
All,Month,January 2022,92.6%
All,Month,December 2021,87.5%
All,Month,November 2021,89.9%
All,Month,October 2021,89.1%
All,Month,September 2021,96.8%
All,Month,August 2021,95.0%
All,Month,July 2021,92.9%
All,Month,June 2021,86.8%
All,Month,May 2021,84.6%
All,Month,April 2021,86.5%
All,Month,March 2021,80.9%
All,Month,February 2021,88.7%
All,Month,January 2021,91.2%
All,Month,December 2020,90.3%
All,Month,November 2020,89.3%
All,Month,October 2020,93.0%
All,Month,September 2020,90.1%
All,Month,August 2020,89.8%
All,Month,July 2020,91.7%
All,Month,June 2020,92.9%
All,Month,May 2020,94.6%
All,Month,April 2020,94.5%
All,Month,March 2020,84.8%
All,Month,February 2020,69.7%
All,Month,January 2020,84.7%
All,Month,December 2019,87.3%
All,Month,November 2019,86.3%
All,Month,October 2019,85.6%
All,Month,September 2019,80.9%
All,Month,August 2019,86.2%
All,Month,July 2019,86.0%
All,Month,June 2019,87.1%
All,Month,May 2019,88.4%
All,Month,April 2019,87.3%
All,Month,March 2019,86.9%
All,Month,February 2019,89.5%
All,Month,January 2019,87.5%
All,Month,December 2018,86.8%
All,Month,November 2018,85.5%
All,Month,October 2018,91.6%
All,Month,September 2018,91.5%
All,Month,August 2018,92.7%
All,Month,July 2018,91.4%
All,Year,FY 2025,70.5%
All,Year,FY 2024,80.3%
All,Year,FY 2023,78.2%
All,Year,FY 2022,85.4%
All,Year,FY 2021,88.5%
All,Year,FY 2020,86.2%
All,Year,FY 2019,88.9%
Newcastle,Month,August 2025,77.1%
Newcastle,Month,July 2025,65.5%
Newcastle,Month,June 2025,73.6%
Newcastle,Month,May 2025,62.5%
Newcastle,Month,April 2025,66.3%
Newcastle,Month,March 2025,69.8%
Newcastle,Month,February 2025,62.8%
Newcastle,Month,January 2025,57.7%
Newcastle,Month,December 2024,66.7%
Newcastle,Month,November 2024,60.5%
Newcastle,Month,October 2024,79.7%
Newcastle,Month,September 2024,69.9%
Newcastle,Month,August 2024,83.8%
Newcastle,Month,July 2024,68.2%
Newcastle,Month,June 2024,72.3%
Newcastle,Month,May 2024,72.5%
Newcastle,Month,April 2024,69.5%
Newcastle,Month,March 2024,73.4%
Newcastle,Month,February 2024,76.0%
Newcastle,Month,January 2024,85.0%
Newcastle,Month,December 2023,81.5%
Newcastle,Month,November 2023,85.0%
Newcastle,Month,October 2023,83.0%
Newcastle,Month,September 2023,85.7%
Newcastle,Month,August 2023,79.7%
Newcastle,Month,July 2023,82.2%
Newcastle,Month,June 2023,81.2%
Newcastle,Month,May 2023,73.9%
Newcastle,Month,April 2023,80.6%
Newcastle,Month,March 2023,72.4%
Newcastle,Month,February 2023,76.7%
Newcastle,Month,January 2023,80.0%
Newcastle,Month,December 2022,80.5%
Newcastle,Month,November 2022,83.0%
Newcastle,Month,October 2022,79.5%
Newcastle,Month,September 2022,84.6%
Newcastle,Month,August 2022,71.1%
Newcastle,Month,July 2022,61.9%
Newcastle,Month,June 2022,78.7%
Newcastle,Month,May 2022,89.7%
Newcastle,Month,April 2022,81.6%
Newcastle,Month,March 2022,59.2%
Newcastle,Month,February 2022,85.0%
Newcastle,Month,January 2022,94.4%
Newcastle,Month,December 2021,88.3%
Newcastle,Month,November 2021,89.4%
Newcastle,Month,October 2021,87.7%
Newcastle,Month,September 2021,97.3%
Newcastle,Month,August 2021,94.4%
Newcastle,Month,July 2021,92.2%
Newcastle,Month,June 2021,89.5%
Newcastle,Month,May 2021,85.4%
Newcastle,Month,April 2021,83.8%
Newcastle,Month,March 2021,80.4%
Newcastle,Month,February 2021,88.0%
Newcastle,Month,January 2021,90.9%
Newcastle,Month,December 2020,90.6%
Newcastle,Month,November 2020,90.6%
Newcastle,Month,October 2020,93.6%
Newcastle,Month,September 2020,91.4%
Newcastle,Month,August 2020,90.5%
Newcastle,Month,July 2020,91.3%
Newcastle,Month,June 2020,91.1%
Newcastle,Month,May 2020,93.7%
Newcastle,Month,April 2020,92.9%
Newcastle,Month,March 2020,81.5%
Newcastle,Month,February 2020,64.0%
Newcastle,Month,January 2020,86.3%
Newcastle,Month,December 2019,91.7%
Newcastle,Month,November 2019,86.1%
Newcastle,Month,October 2019,84.4%
Newcastle,Month,September 2019,78.1%
Newcastle,Month,August 2019,82.8%
Newcastle,Month,July 2019,84.1%
Newcastle,Month,June 2019,87.8%
Newcastle,Month,May 2019,89.8%
Newcastle,Month,April 2019,90.1%
Newcastle,Month,March 2019,84.0%
Newcastle,Month,February 2019,89.3%
Newcastle,Month,January 2019,87.4%
Newcastle,Month,December 2018,85.5%
Newcastle,Month,November 2018,84.2%
Newcastle,Month,October 2018,90.1%
Newcastle,Month,September 2018,90.5%
Newcastle,Month,August 2018,92.3%
Newcastle,Month,July 2018,89.8%
Newcastle,Year,FY 2025,68.7%
Newcastle,Year,FY 2024,78.9%
Newcastle,Year,FY 2023,77.1%
Newcastle,Year,FY 2022,96.2%
Newcastle,Year,FY 2021,88.8%
Newcastle,Year,FY 2020,84.7%
Newcastle,Year,FY 2019,88.5%
South Coast,Month,August 2025,80.8%
South Coast,Month,July 2025,70.9%
South Coast,Month,June 2025,80.5%
South Coast,Month,May 2025,75.0%
South Coast,Month,April 2025,72.6%
South Coast,Month,March 2025,66.2%
South Coast,Month,February 2025,78.0%
South Coast,Month,January 2025,73.0%
South Coast,Month,December 2024,74.4%
South Coast,Month,November 2024,63.3%
South Coast,Month,October 2024,90.9%
South Coast,Month,September 2024,82.9%
South Coast,Month,August 2024,80.4%
South Coast,Month,July 2024,73.7%
South Coast,Month,June 2024,87.5%
South Coast,Month,May 2024,82.2%
South Coast,Month,April 2024,89.1%
South Coast,Month,March 2024,76.8%
South Coast,Month,February 2024,78.4%
South Coast,Month,January 2024,79.0%
South Coast,Month,December 2023,71.4%
South Coast,Month,November 2023,81.0%
South Coast,Month,October 2023,84.6%
South Coast,Month,September 2023,52.2%
South Coast,Month,August 2023,48.8%
South Coast,Month,July 2023,86.5%
South Coast,Month,June 2023,92.8%
South Coast,Month,May 2023,89.5%
South Coast,Month,April 2023,89.3%
South Coast,Month,March 2023,88.9%
South Coast,Month,February 2023,97.7%
South Coast,Month,January 2023,96.2%
South Coast,Month,December 2022,90.8%
South Coast,Month,November 2022,81.9%
South Coast,Month,October 2022,86.9%
South Coast,Month,September 2022,90.0%
South Coast,Month,August 2022,83.5%
