Line,Period,Date,Punctuality
All,Month,August 2025,90.5%
All,Month,July 2025,89.7%
All,Month,June 2025,89.8%
All,Month,May 2025,78.9%
All,Month,April 2025,84.1%
All,Month,March 2025,80.4%
All,Month,February 2025,81.6%
All,Month,January 2025,77.9%
All,Month,December 2024,85.4%
All,Month,November 2024,76.9%
All,Month,October 2024,91.3%
All,Month,September 2024,84.0%
All,Month,August 2024,88.7%
All,Month,July 2024,87.8%
All,Month,June 2024,88.6%
All,Month,May 2024,86.6%
All,Month,April 2024,86.4%
All,Month,March 2024,90.2%
All,Month,February 2024,85.0%
All,Month,January 2024,93.1%
All,Month,December 2023,91.4%
All,Month,November 2023,90.6%
All,Month,October 2023,91.2%
All,Month,September 2023,93.2%
All,Month,August 2023,86.2%
All,Month,July 2023,83.5%
All,Month,June 2023,84.3%
All,Month,May 2023,89.2%
All,Month,April 2023,89.1%
All,Month,March 2023,83.9%
All,Month,February 2023,85.9%
All,Month,January 2023,91.2%
All,Month,December 2022,88.9%
All,Month,November 2022,80.8%
All,Month,October 2022,81.3%
All,Month,September 2022,84.5%
All,Month,August 2022,80.7%
All,Month,July 2022,82.5%
All,Month,June 2022,89.1%
All,Month,May 2022,93.9%
All,Month,April 2022,90.8%
All,Month,March 2022,71.0%
All,Month,February 2022,89.6%
All,Month,January 2022,93.6%
All,Month,December 2021,93.6%
All,Month,November 2021,96.9%
All,Month,October 2021,96.4%
All,Month,September 2021,98.9%
All,Month,August 2021,97.7%
All,Month,July 2021,96.9%
All,Month,June 2021,95.0%
All,Month,May 2021,91.5%
All,Month,April 2021,94.4%
All,Month,March 2021,92.5%
All,Month,February 2021,93.6%
All,Month,January 2021,95.4%
All,Month,December 2020,96.5%
All,Month,November 2020,96.0%
All,Month,October 2020,97.8%
All,Month,September 2020,95.4%
All,Month,August 2020,95.4%
All,Month,July 2020,96.6%
All,Month,June 2020,97.8%
All,Month,May 2020,96.9%
All,Month,April 2020,96.8%
All,Month,March 2020,92.4%
All,Month,February 2020,83.0%
All,Month,January 2020,93.9%
